Lines_Read,Exec_Time_No_Tests,Exec_Time_With_Tests
100,0.392171100000013,0.000913699999983919
1000,0.06785529999999085,0.005760800000018662
2000,0.08649279999997361,0.014592200000009825
3000,0.07906859999999938,0.0148441000000048
4000,0.0808491000000231,0.021109800000004952
5000,0.08857959999997433,0.02532510000000343
6000,0.0871981999999889,0.030186200000002827
7000,0.10657140000000709,0.035484999999994216
8000,0.10248219999999719,0.038841100000013284
9000,0.10672339999999281,0.04877619999999183
10000,0.12886819999999943,0.050185499999997774
