Lines_Read,Exec_Time_No_Tests,Exec_Time_With_Tests
100,0.09400999999999993,0.00048470000000033764
1000,0.07116469999999975,0.005025200000000396
2000,0.07835409999999943,0.011708599999999514
3000,0.07894549999999967,0.014050600000000024
4000,0.09892150000000033,0.01875749999999954
5000,0.10800710000000002,0.02597810000000056
6000,0.09004019999999979,0.028050499999999978
7000,0.12343210000000049,0.03125089999999986
8000,0.09381459999999997,0.04076759999999968
9000,0.10787100000000027,0.04927819999999983
10000,0.10993099999999956,0.05618100000000048
