Lines_Read,Exec_Time_No_Tests,Exec_Time_With_Tests
100,0.00043789995834231377,0.0004024000372737646
1000,0.005113299936056137,0.004491300089284778
2000,0.009912499925121665,0.010232900036498904
3000,0.014654899947345257,0.013734000036492944
4000,0.02071269997395575,0.02022339985705912
5000,0.027391199953854084,0.026889400091022253
6000,0.03829730022698641,0.03370700008235872
7000,0.03864469984546304,0.03712589992210269
8000,0.045428500045090914,0.04757150006480515
9000,0.050760400015860796,0.043880000011995435
10000,0.060081500094383955,0.05586969992145896
